metric,value,method,dataset,category,source
ARI,0.6597276749540896,Concerto,D52s,cross,rerun-0.2.1
NMI,0.7314611863960361,Concerto,D52s,cross,rerun-0.2.1
ASW,0.5182581839430813,Concerto,D52s,cross,rerun-0.2.1
iASW,0.5198495621735295,Concerto,D52s,cross,rerun-0.2.1
iF1,0.5236021633872899,Concerto,D52s,cross,rerun-0.2.1
cLISI,0.9792307110660536,Concerto,D52s,cross,rerun-0.2.1
ASW_batch,0.9471332446010574,Concerto,D52s,cross,rerun-0.2.1
GC,0.8764078795376601,Concerto,D52s,cross,rerun-0.2.1
iLISI,0.5255403197350375,Concerto,D52s,cross,rerun-0.2.1
ARI,0.6988764632273621,StabMap,D52s,cross,rerun-0.2.1
NMI,0.7855106540045523,StabMap,D52s,cross,rerun-0.2.1
ASW,0.5556108074047531,StabMap,D52s,cross,rerun-0.2.1
iASW,0.5617457667402787,StabMap,D52s,cross,rerun-0.2.1
iF1,0.6646869577706678,StabMap,D52s,cross,rerun-0.2.1
cLISI,0.9922426311344644,StabMap,D52s,cross,rerun-0.2.1
ASW_batch,0.915859510453492,StabMap,D52s,cross,rerun-0.2.1
GC,0.934964898125964,StabMap,D52s,cross,rerun-0.2.1
iLISI,0.5484693137169847,StabMap,D52s,cross,rerun-0.2.1
ARI,0.6428407195240091,UINMF,D52s,cross,rerun-0.2.1
NMI,0.7507290375975111,UINMF,D52s,cross,rerun-0.2.1
ASW,0.5565519798424015,UINMF,D52s,cross,rerun-0.2.1
iASW,0.5496153121337971,UINMF,D52s,cross,rerun-0.2.1
iF1,0.6286118810373617,UINMF,D52s,cross,rerun-0.2.1
cLISI,0.9877794906838984,UINMF,D52s,cross,rerun-0.2.1
ASW_batch,0.938626311792766,UINMF,D52s,cross,rerun-0.2.1
GC,0.8994183488459526,UINMF,D52s,cross,rerun-0.2.1
iLISI,0.8889150755512245,UINMF,D52s,cross,rerun-0.2.1
ARI,0.7156664959557238,scMDC,D52s,cross,rerun-0.2.1
NMI,0.7634614561482419,scMDC,D52s,cross,rerun-0.2.1
ASW,0.602272833825942,scMDC,D52s,cross,rerun-0.2.1
iASW,0.5680677365523499,scMDC,D52s,cross,rerun-0.2.1
iF1,0.6424406059126521,scMDC,D52s,cross,rerun-0.2.1
cLISI,0.9930899117640828,scMDC,D52s,cross,rerun-0.2.1
ASW_batch,0.8755882705341104,scMDC,D52s,cross,rerun-0.2.1
GC,0.8757303801923546,scMDC,D52s,cross,rerun-0.2.1
iLISI,0.612279646666857,scMDC,D52s,cross,rerun-0.2.1
ARI,0.3318320921144194,scMM,D52s,cross,rerun-0.2.1
NMI,0.5363137767227182,scMM,D52s,cross,rerun-0.2.1
ASW,0.4845242927781605,scMM,D52s,cross,rerun-0.2.1
iASW,0.4847777079081928,scMM,D52s,cross,rerun-0.2.1
iF1,0.4450676865634732,scMM,D52s,cross,rerun-0.2.1
cLISI,0.9611210645153276,scMM,D52s,cross,rerun-0.2.1
ASW_batch,0.8442565741735722,scMM,D52s,cross,rerun-0.2.1
GC,0.8399182998024841,scMM,D52s,cross,rerun-0.2.1
iLISI,0.2729141306282964,scMM,D52s,cross,rerun-0.2.1
ARI,0.531254234122491,scMoMaT,D52s,cross,rerun-0.2.1
NMI,0.7025136751695703,scMoMaT,D52s,cross,rerun-0.2.1
ASW,0.5730662720955794,scMoMaT,D52s,cross,rerun-0.2.1
iASW,0.5267971626750063,scMoMaT,D52s,cross,rerun-0.2.1
iF1,0.5650017072393206,scMoMaT,D52s,cross,rerun-0.2.1
cLISI,0.990384158358203,scMoMaT,D52s,cross,rerun-0.2.1
ASW_batch,0.8313672280674249,scMoMaT,D52s,cross,rerun-0.2.1
GC,0.6570134418016927,scMoMaT,D52s,cross,rerun-0.2.1
iLISI,0.7255230580502401,scMoMaT,D52s,cross,rerun-0.2.1
ARI,0.7391369206771559,sciPENN,D52s,cross,rerun-0.2.1
NMI,0.815778913771345,sciPENN,D52s,cross,rerun-0.2.1
ASW,0.6168053873413345,sciPENN,D52s,cross,rerun-0.2.1
iASW,0.6237135792215908,sciPENN,D52s,cross,rerun-0.2.1
iF1,0.714139330906734,sciPENN,D52s,cross,rerun-0.2.1
cLISI,0.9971270352490694,sciPENN,D52s,cross,rerun-0.2.1
ASW_batch,0.8843198602210851,sciPENN,D52s,cross,rerun-0.2.1
GC,0.9080556167648586,sciPENN,D52s,cross,rerun-0.2.1
iLISI,0.4542769033232797,sciPENN,D52s,cross,rerun-0.2.1
ARI,0.7563045553253465,totalVI,D52s,cross,rerun-0.2.1
NMI,0.8090966225275663,totalVI,D52s,cross,rerun-0.2.1
ASW,0.5468889039965261,totalVI,D52s,cross,rerun-0.2.1
iASW,0.5703851464488584,totalVI,D52s,cross,rerun-0.2.1
iF1,0.7322104767900929,totalVI,D52s,cross,rerun-0.2.1
cLISI,0.9881360801069012,totalVI,D52s,cross,rerun-0.2.1
ASW_batch,0.9500334452992047,totalVI,D52s,cross,rerun-0.2.1
GC,0.9612446658111976,totalVI,D52s,cross,rerun-0.2.1
iLISI,0.7292940484592527,totalVI,D52s,cross,rerun-0.2.1
