method	dataset	category	status	wall_s	ARI	baseline	verdict	note
moETM	D11	vertical	CHAIN_OK	37	0.6602	0.661	OK	
Matilda	D11	vertical	CHAIN_OK	39	0.9238	0.924	OK	
VIMCCA	D11	vertical	CHAIN_OK	41	0.6953	0.599	DRIFT	
sciPENN	D11	vertical	CHAIN_OK	30	0.6309	0.584	OK	
UINMF	D11	vertical	CHAIN_OK	34	0.4983	0.498	OK	
scMM	D11	vertical	CHAIN_OK	63	0.6939	0.694	OK	
totalVI	D11	vertical	CHAIN_OK	87	0.8206	0.821	OK	
Multigrate	D11	vertical	CHAIN_OK	70	0.6556	0.656	OK	
scMoMaT	D11	vertical	CHAIN_OK_GRAPH_METHOD	84	0.4469	0.447	OK	
StabMap	D46	mosaic	CHAIN_OK	209	0.574	0.574	OK	
Seurat_WNN	D11	vertical	RUN_OK_NO_EMBEDDING	26			OK	
MOFA2	D11	vertical	CHAIN_OK	67	0.4444	0.444	OK	
scJoint	D28	diagonal	CHAIN_OK	147	0.6178	0.618	OK	
Portal	D28	diagonal	CHAIN_OK	134	0.4798	0.48	OK	
scBridge	D28	diagonal	CHAIN_OK	170	0.7005	0.701	OK	
online_iNMF	D28	diagonal	CHAIN_OK	99	0.3749	0.375	OK	
iNMF	D28	diagonal	CHAIN_OK	136	0.4721	0.472	OK	
MultiMAP	D28	diagonal	CHAIN_OK	125	0.2307	0.231	OK	
VIPCCA	D28	diagonal	CHAIN_OK	91	0.1563	0.167	OK	
Conos	D28	diagonal	CHAIN_OK	166	0.0006	0.0005	OK	
scMDC	D11	vertical	CHAIN_OK	107	0.6674	0.649	OK	
Concerto	D11	vertical	CHAIN_OK	969	0.4978	0.408	DRIFT	
iPOLNG	D12	vertical	CHAIN_OK	2098	0.4791	0.479	OK	
scMSI	D11	vertical	CHAIN_OK	2395	0.7575	0.752	OK	
SCALEX	D28	diagonal	CHAIN_OK	631	0.5744	0.574	OK	
Seurat_v3	D28	diagonal	CHAIN_OK	230	0.6055	0.606	OK	
scMVP	D13	vertical	CHAIN_OK	2424	0.0019		OK	
sciCAN	D28	diagonal	CHAIN_OK	524	0.1874	0.187	OK	
uniPort	D28	diagonal	CHAIN_OK	2403	0.5994	0.599	OK	
MIRA	D12	vertical	RUN_OK_NO_EMBEDDING	4755			OK	
GLUE	D27	diagonal	CHAIN_OK	1667	0.7318	0.814	DRIFT	
Seurat_v5	D27	diagonal	CHAIN_OK	1786	0.3753	0.375	OK	
SMILE	D45	mosaic	CHAIN_OK	644	0.4259	0.282	DRIFT	
PASTE	D63	cross	RUN_OK_NO_EMBEDDING	569			OK	
MultiVI	D45	mosaic	CHAIN_OK	3035	0.8185	0.702	DRIFT	
PASTE2	D63	cross	RUN_OK_NO_EMBEDDING	2735			OK	
SPIRAL	D63	cross	RUN_OK_NO_EMBEDDING	3093			OK	
GPSA	D63	cross	RUN_OK_NO_EMBEDDING	3729			OK	
UnitedNet	D27	vertical	CHAIN_OK	454	0.9527	0.947	OK	
Cobolt	D45	mosaic	CHAIN_OK	1180	0.797	0.779	OK	
