metric,value,method,dataset,category
ARI,0.0008949796705949,Conos,D28s,diagonal
NMI,0.0323685911041542,Conos,D28s,diagonal
ASW,0.4342154980223925,Conos,D28s,diagonal
iASW,0.426466016989485,Conos,D28s,diagonal
iF1,0.0709365878278005,Conos,D28s,diagonal
cLISI,0.811150613823106,Conos,D28s,diagonal
ASW_batch,0.8203839742536023,Conos,D28s,diagonal
GC,0.0960706115471417,Conos,D28s,diagonal
iLISI,0.5934067388481017,Conos,D28s,diagonal
ARI,0.2593665203227165,MultiMAP,D28s,diagonal
NMI,0.4724553342349784,MultiMAP,D28s,diagonal
ASW,0.5423942070326911,MultiMAP,D28s,diagonal
iASW,0.4515871642451429,MultiMAP,D28s,diagonal
iF1,0.4169007842901589,MultiMAP,D28s,diagonal
cLISI,0.9734576734011282,MultiMAP,D28s,diagonal
ASW_batch,0.656255867647583,MultiMAP,D28s,diagonal
GC,0.6458437112563057,MultiMAP,D28s,diagonal
iLISI,0.7560418443759549,MultiMAP,D28s,diagonal
ARI,0.5043479489840539,Portal,D28s,diagonal
NMI,0.6162387847619782,Portal,D28s,diagonal
ASW,0.5166723930566035,Portal,D28s,diagonal
iASW,0.5200488134649122,Portal,D28s,diagonal
iF1,0.5091330747399772,Portal,D28s,diagonal
cLISI,0.9672983180829262,Portal,D28s,diagonal
ASW_batch,0.8345126646502943,Portal,D28s,diagonal
GC,0.8651156563752134,Portal,D28s,diagonal
iLISI,0.7115605546161052,Portal,D28s,diagonal
ARI,0.5759360294292322,SCALEX,D28s,diagonal
NMI,0.5770662782169963,SCALEX,D28s,diagonal
ASW,0.5233528226731217,SCALEX,D28s,diagonal
iASW,0.5147848759917213,SCALEX,D28s,diagonal
iF1,0.4725486063735729,SCALEX,D28s,diagonal
cLISI,0.972269147287032,SCALEX,D28s,diagonal
ASW_batch,0.8028271416193977,SCALEX,D28s,diagonal
GC,0.8548954377465013,SCALEX,D28s,diagonal
iLISI,0.4263782213913125,SCALEX,D28s,diagonal
ARI,0.5919222515625612,Seurat_v3,D28s,diagonal
NMI,0.6077282318472028,Seurat_v3,D28s,diagonal
ASW,0.4521551279002181,Seurat_v3,D28s,diagonal
iASW,0.5014930166049516,Seurat_v3,D28s,diagonal
iF1,0.5508545539863713,Seurat_v3,D28s,diagonal
cLISI,0.9704545193043924,Seurat_v3,D28s,diagonal
ASW_batch,0.7598193191607626,Seurat_v3,D28s,diagonal
GC,0.8079022018132671,Seurat_v3,D28s,diagonal
iLISI,0.5510778006454249,Seurat_v3,D28s,diagonal
ARI,0.1815808962282915,VIPCCA,D28s,diagonal
NMI,0.3761746145008138,VIPCCA,D28s,diagonal
ASW,0.4832429224313057,VIPCCA,D28s,diagonal
iASW,0.4686537884027921,VIPCCA,D28s,diagonal
iF1,0.3192548180009759,VIPCCA,D28s,diagonal
cLISI,0.9493823456164155,VIPCCA,D28s,diagonal
ASW_batch,0.7454511221014443,VIPCCA,D28s,diagonal
GC,0.6462457487148031,VIPCCA,D28s,diagonal
iLISI,0.0284403171901579,VIPCCA,D28s,diagonal
ARI,0.3528594811041666,iNMF,D28s,diagonal
NMI,0.4630925566173505,iNMF,D28s,diagonal
ASW,0.4638563690109185,iNMF,D28s,diagonal
iASW,0.4579764828721093,iNMF,D28s,diagonal
iF1,0.3677783237608003,iNMF,D28s,diagonal
cLISI,0.9467709423862778,iNMF,D28s,diagonal
ASW_batch,0.7285590520818576,iNMF,D28s,diagonal
GC,0.7146192074076471,iNMF,D28s,diagonal
iLISI,0.4361676689714109,iNMF,D28s,diagonal
