metric,value,method,dataset,category
ARI,0.8185183769251428,MultiVI,D45,mosaic
NMI,0.8098577252545478,MultiVI,D45,mosaic
ASW,0.5748256924424059,MultiVI,D45,mosaic
iASW,,MultiVI,D45,mosaic
iF1,,MultiVI,D45,mosaic
cLISI,,MultiVI,D45,mosaic
ARI,0.7754433335107166,Multigrate,D45,mosaic
NMI,0.7714851299037516,Multigrate,D45,mosaic
ASW,0.5462647325807226,Multigrate,D45,mosaic
iASW,,Multigrate,D45,mosaic
iF1,,Multigrate,D45,mosaic
cLISI,,Multigrate,D45,mosaic
ARI,0.3667320151908325,SMILE,D45,mosaic
NMI,0.5800042998223245,SMILE,D45,mosaic
ASW,0.5614783395518959,SMILE,D45,mosaic
iASW,,SMILE,D45,mosaic
iF1,,SMILE,D45,mosaic
cLISI,,SMILE,D45,mosaic
