metric,value,method,dataset,category
ARI,0.3724013612140145,Concerto,D11,vertical
NMI,0.4705296560062781,Concerto,D11,vertical
ASW,0.5085681627033178,Concerto,D11,vertical
iASW,,Concerto,D11,vertical
iF1,,Concerto,D11,vertical
cLISI,,Concerto,D11,vertical
ARI,0.4443728571400766,MOFA2,D11,vertical
NMI,0.6690666934477557,MOFA2,D11,vertical
ASW,0.4732682386317695,MOFA2,D11,vertical
iASW,,MOFA2,D11,vertical
iF1,,MOFA2,D11,vertical
cLISI,,MOFA2,D11,vertical
ARI,0.923822980528,Matilda,D11,vertical
NMI,0.9186159755698358,Matilda,D11,vertical
ASW,0.6793129172881713,Matilda,D11,vertical
iASW,,Matilda,D11,vertical
iF1,,Matilda,D11,vertical
cLISI,,Matilda,D11,vertical
ARI,0.6556379983223984,Multigrate,D11,vertical
NMI,0.7643162958371191,Multigrate,D11,vertical
ASW,0.6608676076662665,Multigrate,D11,vertical
iASW,,Multigrate,D11,vertical
iF1,,Multigrate,D11,vertical
cLISI,,Multigrate,D11,vertical
ARI,0.4983146209649599,UINMF,D11,vertical
NMI,0.6285817457609159,UINMF,D11,vertical
ASW,0.5540715722436071,UINMF,D11,vertical
iASW,,UINMF,D11,vertical
iF1,,UINMF,D11,vertical
cLISI,,UINMF,D11,vertical
ARI,0.5985181836410024,VIMCCA,D11,vertical
NMI,0.7299792335283366,VIMCCA,D11,vertical
ASW,0.5846821253217845,VIMCCA,D11,vertical
iASW,,VIMCCA,D11,vertical
iF1,,VIMCCA,D11,vertical
cLISI,,VIMCCA,D11,vertical
ARI,0.660452368926792,moETM,D11,vertical
NMI,0.7323316524940997,moETM,D11,vertical
ASW,0.5478382023779483,moETM,D11,vertical
iASW,,moETM,D11,vertical
iF1,,moETM,D11,vertical
cLISI,,moETM,D11,vertical
ARI,0.6493965020654322,scMDC,D11,vertical
NMI,0.7111455362117333,scMDC,D11,vertical
ASW,0.6104137642526477,scMDC,D11,vertical
iASW,,scMDC,D11,vertical
iF1,,scMDC,D11,vertical
cLISI,,scMDC,D11,vertical
ARI,0.6939146765424737,scMM,D11,vertical
NMI,0.7227992593628519,scMM,D11,vertical
ASW,0.5721929492380515,scMM,D11,vertical
iASW,,scMM,D11,vertical
iF1,,scMM,D11,vertical
cLISI,,scMM,D11,vertical
ARI,0.7518410622505537,scMSI,D11,vertical
NMI,0.8018724397029361,scMSI,D11,vertical
ASW,0.5742580082569875,scMSI,D11,vertical
iASW,,scMSI,D11,vertical
iF1,,scMSI,D11,vertical
cLISI,,scMSI,D11,vertical
ARI,0.4469397701474701,scMoMaT,D11,vertical
NMI,0.5495081224744255,scMoMaT,D11,vertical
ASW,0.5804608088278319,scMoMaT,D11,vertical
iASW,,scMoMaT,D11,vertical
iF1,,scMoMaT,D11,vertical
cLISI,,scMoMaT,D11,vertical
ARI,0.5839280568690404,sciPENN,D11,vertical
NMI,0.6889762678903176,sciPENN,D11,vertical
ASW,0.6310725861951413,sciPENN,D11,vertical
iASW,,sciPENN,D11,vertical
iF1,,sciPENN,D11,vertical
cLISI,,sciPENN,D11,vertical
ARI,0.8205732105868393,totalVI,D11,vertical
NMI,0.840033400840987,totalVI,D11,vertical
ASW,0.5504448526310012,totalVI,D11,vertical
iASW,,totalVI,D11,vertical
iF1,,totalVI,D11,vertical
cLISI,,totalVI,D11,vertical
ARI,0.0003864311318669,Conos,D28,diagonal
NMI,0.0225692784661624,Conos,D28,diagonal
ASW,0.4301022002277908,Conos,D28,diagonal
iASW,,Conos,D28,diagonal
iF1,,Conos,D28,diagonal
cLISI,,Conos,D28,diagonal
ARI,0.4797557351548953,Portal,D28,diagonal
NMI,0.6144357944855267,Portal,D28,diagonal
ASW,0.5185777673155055,Portal,D28,diagonal
iASW,,Portal,D28,diagonal
iF1,,Portal,D28,diagonal
cLISI,,Portal,D28,diagonal
ARI,0.5743592998817468,SCALEX,D28,diagonal
NMI,0.5858615397747124,SCALEX,D28,diagonal
ASW,0.5320226379756663,SCALEX,D28,diagonal
iASW,,SCALEX,D28,diagonal
iF1,,SCALEX,D28,diagonal
cLISI,,SCALEX,D28,diagonal
ARI,0.1518066057800979,VIPCCA,D28,diagonal
NMI,0.3756455521704036,VIPCCA,D28,diagonal
ASW,0.478464201057578,VIPCCA,D28,diagonal
iASW,,VIPCCA,D28,diagonal
iF1,,VIPCCA,D28,diagonal
cLISI,,VIPCCA,D28,diagonal
ARI,0.4721258798854709,iNMF,D28,diagonal
NMI,0.513562561414791,iNMF,D28,diagonal
ASW,0.4945623905246877,iNMF,D28,diagonal
iASW,,iNMF,D28,diagonal
iF1,,iNMF,D28,diagonal
cLISI,,iNMF,D28,diagonal
ARI,0.3748705127890888,online_iNMF,D28,diagonal
NMI,0.4689597567489403,online_iNMF,D28,diagonal
ASW,0.4665861511004124,online_iNMF,D28,diagonal
iASW,,online_iNMF,D28,diagonal
iF1,,online_iNMF,D28,diagonal
cLISI,,online_iNMF,D28,diagonal
ARI,0.6178095803969573,scJoint,D28,diagonal
NMI,0.6376721888023513,scJoint,D28,diagonal
ASW,0.5349135288505782,scJoint,D28,diagonal
iASW,,scJoint,D28,diagonal
iF1,,scJoint,D28,diagonal
cLISI,,scJoint,D28,diagonal
ARI,0.1877031871156704,sciCAN,D28,diagonal
NMI,0.3688401121221336,sciCAN,D28,diagonal
ASW,0.5133007252541624,sciCAN,D28,diagonal
iASW,,sciCAN,D28,diagonal
iF1,,sciCAN,D28,diagonal
cLISI,,sciCAN,D28,diagonal
ARI,0.5993905348379265,uniPort,D28,diagonal
NMI,0.6197648642714019,uniPort,D28,diagonal
ASW,0.5320415650677635,uniPort,D28,diagonal
iASW,,uniPort,D28,diagonal
iF1,,uniPort,D28,diagonal
cLISI,,uniPort,D28,diagonal
ARI,0.8172758792480528,Cobolt,D45,mosaic
NMI,0.8077747649052915,Cobolt,D45,mosaic
ASW,0.6119634983922815,Cobolt,D45,mosaic
iASW,,Cobolt,D45,mosaic
iF1,,Cobolt,D45,mosaic
cLISI,,Cobolt,D45,mosaic
ARI,0.8185183769251428,MultiVI,D45,mosaic
NMI,0.8098577252545478,MultiVI,D45,mosaic
ASW,0.5748256924424059,MultiVI,D45,mosaic
iASW,,MultiVI,D45,mosaic
iF1,,MultiVI,D45,mosaic
cLISI,,MultiVI,D45,mosaic
ARI,0.7754433335107166,Multigrate,D45,mosaic
NMI,0.7714851299037516,Multigrate,D45,mosaic
ASW,0.5462647325807226,Multigrate,D45,mosaic
iASW,,Multigrate,D45,mosaic
iF1,,Multigrate,D45,mosaic
cLISI,,Multigrate,D45,mosaic
ARI,0.3667320151908325,SMILE,D45,mosaic
NMI,0.5800042998223245,SMILE,D45,mosaic
ASW,0.5614783395518959,SMILE,D45,mosaic
iASW,,SMILE,D45,mosaic
iF1,,SMILE,D45,mosaic
cLISI,,SMILE,D45,mosaic
ARI,0.6741218074722282,Concerto,D52,cross
NMI,0.7370887698798286,Concerto,D52,cross
ASW,0.5174954765437649,Concerto,D52,cross
iASW,,Concerto,D52,cross
iF1,,Concerto,D52,cross
cLISI,,Concerto,D52,cross
ARI,0.6879900906393589,StabMap,D52,cross
NMI,0.7760189266323023,StabMap,D52,cross
ASW,0.5568976220082031,StabMap,D52,cross
iASW,,StabMap,D52,cross
iF1,,StabMap,D52,cross
cLISI,,StabMap,D52,cross
ARI,0.6905333968796284,UINMF,D52,cross
NMI,0.7772036760473289,UINMF,D52,cross
ASW,0.5667931549138492,UINMF,D52,cross
iASW,,UINMF,D52,cross
iF1,,UINMF,D52,cross
cLISI,,UINMF,D52,cross
ARI,0.70478311888582,scMDC,D52,cross
NMI,0.7791054757945106,scMDC,D52,cross
ASW,0.6158565244486813,scMDC,D52,cross
iASW,,scMDC,D52,cross
iF1,,scMDC,D52,cross
cLISI,,scMDC,D52,cross
ARI,0.374453265097133,scMM,D52,cross
NMI,0.5714988859620144,scMM,D52,cross
ASW,0.498963327944157,scMM,D52,cross
iASW,,scMM,D52,cross
iF1,,scMM,D52,cross
cLISI,,scMM,D52,cross
ARI,0.4737735764943511,scMoMaT,D52,cross
NMI,0.6854737440380442,scMoMaT,D52,cross
ASW,0.5512346995152202,scMoMaT,D52,cross
iASW,,scMoMaT,D52,cross
iF1,,scMoMaT,D52,cross
cLISI,,scMoMaT,D52,cross
ARI,0.6946628220722493,sciPENN,D52,cross
NMI,0.7914370902961404,sciPENN,D52,cross
ASW,0.6061983025506469,sciPENN,D52,cross
iASW,,sciPENN,D52,cross
iF1,,sciPENN,D52,cross
cLISI,,sciPENN,D52,cross
ARI,0.7667584005324173,totalVI,D52,cross
NMI,0.802977427553603,totalVI,D52,cross
ASW,0.5455163697815534,totalVI,D52,cross
iASW,,totalVI,D52,cross
iF1,,totalVI,D52,cross
cLISI,,totalVI,D52,cross
