method,status,run_sec,output_kind,label_order,n_batches,ARI,NMI,ASW,iASW,iF1,cLISI
Concerto,CHAIN_OK,1387.6,,cty.csv,1,0.3724,0.4705,0.5086,0.5098,0.5075,0.8827
MOFA2,CHAIN_OK,868.4,,cty.csv,1,0.4444,0.6691,0.4733,0.4671,0.6687,0.931
Matilda,CHAIN_OK,189.2,,cty.csv,1,0.9238,0.9186,0.6793,0.6822,0.9625,0.9989
Multigrate,CHAIN_OK,1276.6,,cty.csv,1,0.6556,0.7643,0.6609,0.6477,0.7529,0.996
UINMF,CHAIN_OK,261.2,,cty.csv,1,0.4983,0.6286,0.5541,0.52,0.6045,0.9557
VIMCCA,CHAIN_OK,548.8,,cty.csv,1,0.5985,0.73,0.5847,0.5632,0.7732,0.9895
moETM,CHAIN_OK,428.3,,cty.csv,1,0.6605,0.7323,0.5478,0.5667,0.6719,0.9665
scMDC,CHAIN_OK,888.1,,cty.csv,1,0.6494,0.7111,0.6104,0.5832,0.6344,0.9786
scMM,CHAIN_OK,234.9,,cty.csv,1,0.6939,0.7228,0.5722,0.5479,0.6382,0.972
scMSI,CHAIN_OK,8163.9,,cty.csv,1,0.7518,0.8019,0.5743,0.5716,0.7846,0.983
scMoMaT,CHAIN_OK_GRAPH_METHOD,411.6,,cty.csv,1,0.4469,0.5495,0.5805,0.5436,0.5499,0.9599
sciPENN,CHAIN_OK,143.5,,cty.csv,1,0.5839,0.689,0.6311,0.6227,0.6512,0.9785
totalVI,CHAIN_OK,2096.1,,cty.csv,1,0.8206,0.84,0.5504,0.554,0.806,0.9756
