method,status,run_sec,output_kind,label_order,n_batches,ARI,NMI,ASW,iASW,iF1,cLISI,ASW_batch,GC,iLISI
Conos,CHAIN_OK,712.5,embedding,rna_cty.csv+atac_cty.csv,2,0.0004,0.0226,0.4301,0.4286,0.0647,0.8184,0.848,0.0738,0.6276
MultiMAP,CHAIN_OK,2040.2,embedding,rna_cty.csv+atac_cty.csv,2,0.2368,0.4966,0.5529,0.4769,0.4896,0.9794,0.6176,0.6701,0.6684
Portal,CHAIN_OK,400.4,embedding,rna_cty.csv+atac_cty.csv,2,0.4798,0.6144,0.5186,0.5201,0.5118,0.9738,0.8319,0.8602,0.6623
SCALEX,CHAIN_OK,2232.3,embedding,rna_cty.csv+atac_cty.csv,2,0.5744,0.5859,0.532,0.5162,0.4864,0.9762,0.7994,0.8656,0.3404
Seurat_v3,CHAIN_OK,3364.6,embedding,rna_cty.csv+atac_cty.csv,2,0.6055,0.6339,0.4724,0.5093,0.5712,0.9716,0.78,0.8142,0.5531
VIPCCA,CHAIN_OK,334.8,embedding,rna_cty.csv+atac_cty.csv,2,0.1518,0.3756,0.4785,0.4568,0.3618,0.9514,0.6724,0.6202,0.1582
iNMF,CHAIN_OK,120.2,embedding,rna_cty.csv+atac_cty.csv,2,0.4721,0.5136,0.4946,0.4832,0.4573,0.965,0.794,0.7757,0.6419
online_iNMF,CHAIN_OK,80.7,embedding,rna_cty.csv+atac_cty.csv,2,0.3749,0.469,0.4666,0.4589,0.4064,0.9472,0.7777,0.7578,0.5595
scJoint,CHAIN_OK,208.9,embedding,rna_cty.csv+atac_cty.csv,2,0.6178,0.6377,0.5349,0.5238,0.5921,0.9904,0.7571,0.8701,0.5426
sciCAN,CHAIN_OK,15735.0,embedding,rna_cty.csv+atac_cty.csv,2,0.1877,0.3688,0.5133,0.4778,0.3816,0.9495,0.7575,0.627,0.633
uniPort,CHAIN_OK,4133.0,embedding,atac_cty.csv+rna_cty.csv,2,0.5994,0.6198,0.532,0.5221,0.4929,0.9766,0.8346,0.8678,0.575
