method,status,run_sec,output_kind,emb_shape,n_tunable,label_order,label_order_confidence,ARI,NMI,ASW,iASW,iF1,cLISI,ASW_batch,GC,iLISI
Conos,CHAIN_OK,324.6,embedding,"[6607, 2]",0,atac_cty.csv+rna_cty.csv,,0.0009,0.0324,0.4342,0.4265,0.0709,0.8112,0.8204,0.0961,0.5934
GLUE,FAIL,1594.3,embedding,,0,,,,,,,,,,,
MultiMAP,CHAIN_OK,634.8,embedding,"[6607, 2]",0,rna_cty.csv+atac_cty.csv,1.0,0.2594,0.4725,0.5424,0.4516,0.4169,0.9735,0.6563,0.6458,0.756
Portal,CHAIN_OK,280.8,embedding,"[6607, 20]",0,rna_cty.csv+atac_cty.csv,0.9996,0.5043,0.6162,0.5167,0.52,0.5091,0.9673,0.8345,0.8651,0.7116
SCALEX,CHAIN_OK,1682.7,embedding,"[6607, 10]",0,rna_cty.csv+atac_cty.csv,0.9976,0.5759,0.5771,0.5234,0.5148,0.4725,0.9723,0.8028,0.8549,0.4264
Seurat_v3,CHAIN_OK,86.0,embedding,"[6607, 50]",0,rna_cty.csv+atac_cty.csv,1.0008,0.5919,0.6077,0.4522,0.5015,0.5509,0.9705,0.7598,0.8079,0.5511
Seurat_v5,FAIL,14.0,embedding,,0,,,,,,,,,,,
VIPCCA,CHAIN_OK,15.1,embedding,"[6607, 16]",0,rna_cty.csv+atac_cty.csv,0.9912,0.1816,0.3762,0.4832,0.4687,0.3193,0.9494,0.7455,0.6462,0.0284
iNMF,CHAIN_OK,37.7,embedding,"[6607, 20]",0,rna_cty.csv+atac_cty.csv,0.9986,0.3529,0.4631,0.4639,0.458,0.3678,0.9468,0.7286,0.7146,0.4362
online_iNMF,CHAIN_OK,12.5,embedding,"[6607, 20]",0,rna_cty.csv+atac_cty.csv,1.0019,0.2682,0.3934,0.4452,0.4442,0.3183,0.9311,0.7851,0.6411,0.7066
scBridge,CHAIN_OK,60.4,embedding,"[6607, 50]",13,rna_cty.csv+atac_cty.csv,0.9991,0.7049,0.7426,0.6472,0.6506,0.7322,0.993,0.6148,0.7944,0.7821
scJoint,CHAIN_OK,46.3,embedding,"[6607, 64]",21,rna_cty.csv+atac_cty.csv,1.0002,0.5756,0.604,0.5321,0.519,0.5386,0.9905,0.7207,0.8401,0.5145
sciCAN,CHAIN_OK,232.8,embedding,"[6607, 25]",0,rna_cty.csv+atac_cty.csv,1.001,0.1996,0.3333,0.4833,0.464,0.356,0.9393,0.7962,0.5667,0.6775
uniPort,CHAIN_OK,1872.2,embedding,"[6607, 16]",1,atac_cty.csv+rna_cty.csv,0.9992,0.593,0.5976,0.5323,0.5114,0.4984,0.9703,0.8335,0.8709,0.7572
